url_path,views_total,views_unique
/AirbusDefenceAndSpace/vispa,13,5
/AirbusDefenceAndSpace/vispa/blob/main/urdf/vispa.urdf,3,1
/AirbusDefenceAndSpace/vispa/stargazers,2,2
/AirbusDefenceAndSpace/vispa/blob/github-repo-stats/AirbusDefenceAndSpace/vispa/latest-report/report.pdf,1,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats,1,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats/AirbusDefenceAndSpace/vispa,1,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats/AirbusDefenceAndSpace/vispa/latest-report,1,1
/AirbusDefenceAndSpace/vispa/tree/main/urdf,1,1
/AirbusDefenceAndSpace/vispa/watchers,1,1
