url_path,views_total,views_unique
/AirbusDefenceAndSpace/vispa,75,11
/AirbusDefenceAndSpace/vispa/actions,21,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats,18,2
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats/AirbusDefenceAndSpace/vispa,14,2
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats/AirbusDefenceAndSpace/vispa/latest-report,12,2
/AirbusDefenceAndSpace/vispa/actions/workflows/main.yml,12,1
/AirbusDefenceAndSpace/vispa/branches,11,2
/AirbusDefenceAndSpace/vispa/tree/main,8,2
/AirbusDefenceAndSpace/vispa/blob/github-repo-stats/AirbusDefenceAndSpace/vispa/latest-report/report.pdf,7,2
/AirbusDefenceAndSpace/vispa/tree/main/.github/workflows,7,1
