url_path,views_total,views_unique
/AirbusDefenceAndSpace/vispa,37,18
/AirbusDefenceAndSpace/vispa/find/main,3,2
/AirbusDefenceAndSpace/vispa/tree/main/launch,3,2
/AirbusDefenceAndSpace/vispa/blob/github-repo-stats/AirbusDefenceAndSpace/vispa/latest-report/report.pdf,2,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats,2,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats/AirbusDefenceAndSpace/vispa,2,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats/AirbusDefenceAndSpace/vispa/latest-report,2,1
/AirbusDefenceAndSpace/vispa/tree/main/images,2,1
/AirbusDefenceAndSpace/vispa/blob/main/CMakeLists.txt,1,1
/AirbusDefenceAndSpace/vispa/blob/main/.github/workflows/main.yml,1,1
