url_path,views_total,views_unique
/AirbusDefenceAndSpace/vispa,16,6
/AirbusDefenceAndSpace/vispa/blob/github-repo-stats/AirbusDefenceAndSpace/vispa/latest-report/report.pdf,2,1
/AirbusDefenceAndSpace/vispa/branches,2,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats,2,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats/AirbusDefenceAndSpace/vispa,2,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats/AirbusDefenceAndSpace/vispa/latest-report,2,1
/AirbusDefenceAndSpace/vispa/blob/main/images/vispa_render.jpg,1,1
/AirbusDefenceAndSpace/vispa/compare/github-repo-stats,1,1
/AirbusDefenceAndSpace/vispa/watchers,1,1
