time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-27 00:00:00+00:00,1,1,,
2022-06-28 00:00:00+00:00,15,7,45.0,2.0
2022-06-29 00:00:00+00:00,2,2,9.0,2.0
2022-06-30 00:00:00+00:00,1,1,,
2022-07-01 00:00:00+00:00,1,1,7.0,2.0
2022-07-02 00:00:00+00:00,1,1,,
2022-07-03 00:00:00+00:00,2,2,,
2022-07-04 00:00:00+00:00,2,2,2.0,1.0
2022-07-05 00:00:00+00:00,2,2,,
2022-07-06 00:00:00+00:00,3,3,16.0,2.0
2022-07-07 00:00:00+00:00,2,2,1.0,1.0
2022-07-08 00:00:00+00:00,1,1,2.0,1.0
2022-07-09 00:00:00+00:00,1,1,,
