url_path,views_total,views_unique
/AirbusDefenceAndSpace/vispa,10,6
/AirbusDefenceAndSpace/vispa/branches,3,2
/AirbusDefenceAndSpace/vispa/blob/github-repo-stats/AirbusDefenceAndSpace/vispa/latest-report/report.pdf,2,1
/AirbusDefenceAndSpace/vispa/commits,2,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats,2,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats/AirbusDefenceAndSpace/vispa,2,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats/AirbusDefenceAndSpace/vispa/latest-report,2,1
/AirbusDefenceAndSpace/vispa/pulls,1,1
