url_path,views_total,views_unique
/AirbusDefenceAndSpace/vispa,12,9
/AirbusDefenceAndSpace/vispa/blob/github-repo-stats/AirbusDefenceAndSpace/vispa/latest-report/report.pdf,1,1
/AirbusDefenceAndSpace/vispa/blob/main/README.md,1,1
/AirbusDefenceAndSpace/vispa/commits/main/README.md,1,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats,1,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats/AirbusDefenceAndSpace/vispa,1,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats/AirbusDefenceAndSpace/vispa/latest-report,1,1
