url_path,views_total,views_unique
/AirbusDefenceAndSpace/vispa,73,11
/AirbusDefenceAndSpace/vispa/actions,21,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats,17,1
/AirbusDefenceAndSpace/vispa/actions/workflows/main.yml,12,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats/AirbusDefenceAndSpace/vispa,12,1
/AirbusDefenceAndSpace/vispa/branches,10,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats/AirbusDefenceAndSpace/vispa/latest-report,10,1
/AirbusDefenceAndSpace/vispa/tree/main,7,1
/AirbusDefenceAndSpace/vispa/tree/main/.github/workflows,7,1
/AirbusDefenceAndSpace/vispa/actions/runs/2023334752,6,2
