time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-06 00:00:00+00:00,1,1,,
2022-09-07 00:00:00+00:00,1,1,,
2022-09-08 00:00:00+00:00,1,1,,
2022-09-09 00:00:00+00:00,1,1,1.0,1.0
2022-09-10 00:00:00+00:00,1,1,,
2022-09-11 00:00:00+00:00,1,1,8.0,1.0
2022-09-12 00:00:00+00:00,2,2,1.0,1.0
2022-09-13 00:00:00+00:00,1,1,,
2022-09-14 00:00:00+00:00,1,1,,
2022-09-15 00:00:00+00:00,2,2,,
2022-09-16 00:00:00+00:00,4,3,23.0,1.0
2022-09-17 00:00:00+00:00,1,1,,
2022-09-18 00:00:00+00:00,1,1,5.0,1.0
