url_path,views_total,views_unique
/AirbusDefenceAndSpace/vispa,71,11
/AirbusDefenceAndSpace/vispa/actions,21,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats,15,1
/AirbusDefenceAndSpace/vispa/actions/workflows/main.yml,12,1
/AirbusDefenceAndSpace/vispa/branches,10,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats/AirbusDefenceAndSpace/vispa,10,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats/AirbusDefenceAndSpace/vispa/latest-report,9,1
/AirbusDefenceAndSpace/vispa/tree/main/.github/workflows,7,1
/AirbusDefenceAndSpace/vispa/actions/runs/2023334752,6,2
/AirbusDefenceAndSpace/vispa/actions/new,6,1
